,Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Duration_Years,Number_of_Open_Accounts,Had_Past_Default,Loan_Approval
0,35.0,107770.0,331.0,31580.0,28,13.0,0,0
1,52.0,,636.0,9012.0,5,14.0,0,1
2,56.0,160017.0,809.0,45310.0,19,13.0,1,1
3,52.0,41654.0,422.0,47966.0,17,7.0,1,0
4,30.0,73198.0,414.0,35636.0,2,3.0,1,1
5,43.0,148228.0,515.0,35112.0,22,9.0,1,0
6,32.0,61335.0,516.0,31984.0,9,6.0,0,0
7,68.0,43272.0,824.0,35806.0,27,9.0,0,1
8,18.0,32745.0,502.0,47007.0,4,14.0,0,0
9,42.0,49923.0,433.0,27276.0,1,10.0,1,1
10,36.0,185042.0,642.0,27576.0,16,12.0,1,0
11,62.0,186182.0,618.0,23961.0,25,9.0,1,1
12,35.0,103356.0,834.0,39652.0,23,12.0,1,0
13,34.0,56977.0,552.0,19827.0,20,1.0,0,0
14,21.0,,414.0,27613.0,15,8.0,1,1
15,47.0,96986.0,469.0,17390.0,28,3.0,1,0
16,28.0,66170.0,818.0,13486.0,28,14.0,0,1
17,47.0,199604.0,433.0,13522.0,15,12.0,1,1
18,59.0,57558.0,833.0,28830.0,27,3.0,0,0
19,58.0,81986.0,709.0,23908.0,5,12.0,0,1
20,28.0,37157.0,430.0,25390.0,4,4.0,0,0
21,67.0,101256.0,541.0,31452.0,22,6.0,0,1
22,61.0,121105.0,470.0,7766.0,26,12.0,1,1
23,52.0,48168.0,527.0,30420.0,13,11.0,0,0
24,27.0,88693.0,414.0,25195.0,24,3.0,0,1
25,64.0,67201.0,495.0,37154.0,8,6.0,0,1
26,38.0,49760.0,779.0,46235.0,18,12.0,0,0
27,41.0,169855.0,340.0,47136.0,20,11.0,1,1
28,28.0,66166.0,723.0,26698.0,2,4.0,1,1
29,47.0,91672.0,309.0,23808.0,24,4.0,0,1
30,27.0,140664.0,364.0,5006.0,7,1.0,0,0
31,47.0,102726.0,723.0,49361.0,27,13.0,0,1
32,63.0,40608.0,511.0,43788.0,28,7.0,0,1
33,63.0,190391.0,406.0,,6,6.0,1,0
34,45.0,177999.0,435.0,26992.0,11,8.0,0,1
35,35.0,130991.0,651.0,17959.0,15,10.0,0,0
36,42.0,78562.0,808.0,28564.0,25,10.0,1,0
37,42.0,88505.0,332.0,8147.0,24,13.0,1,0
38,23.0,94536.0,584.0,23920.0,8,12.0,1,0
39,69.0,52914.0,651.0,29009.0,16,10.0,0,1
40,28.0,60385.0,385.0,13586.0,23,9.0,0,1
41,,108360.0,511.0,18484.0,28,10.0,1,0
42,69.0,153768.0,717.0,40178.0,8,12.0,0,0
43,43.0,67106.0,670.0,32206.0,28,8.0,0,1
44,31.0,76465.0,681.0,12773.0,13,4.0,0,1
45,19.0,136010.0,783.0,9673.0,3,4.0,0,1
46,22.0,58564.0,373.0,17639.0,12,14.0,0,0
47,46.0,169701.0,581.0,15467.0,14,3.0,0,0
48,33.0,67068.0,798.0,37115.0,14,10.0,0,1
49,51.0,119496.0,696.0,24607.0,14,11.0,0,1
50,32.0,98313.0,621.0,34951.0,3,8.0,1,0
51,61.0,80656.0,739.0,48765.0,21,11.0,1,0
52,36.0,183450.0,822.0,43896.0,13,12.0,0,1
53,64.0,65276.0,387.0,49277.0,1,5.0,1,1
54,54.0,33300.0,487.0,10549.0,28,13.0,0,1
55,35.0,146423.0,650.0,11464.0,16,1.0,0,1
56,67.0,168078.0,651.0,19079.0,18,14.0,0,0
57,54.0,133665.0,347.0,16476.0,14,1.0,0,1
58,39.0,57001.0,592.0,49615.0,12,6.0,0,0
59,44.0,162228.0,694.0,22086.0,9,4.0,1,1
60,27.0,150137.0,393.0,45309.0,23,11.0,0,0
61,37.0,45271.0,699.0,20122.0,19,3.0,1,0
62,41.0,181958.0,772.0,21185.0,21,11.0,1,0
63,27.0,,735.0,17410.0,13,9.0,1,0
64,62.0,55650.0,,36251.0,14,8.0,0,1
65,64.0,90780.0,640.0,19977.0,25,2.0,1,0
66,66.0,95836.0,400.0,30710.0,17,6.0,0,1
67,21.0,35133.0,398.0,22337.0,6,8.0,0,1
68,32.0,55870.0,699.0,11416.0,12,11.0,0,1
69,23.0,125404.0,583.0,49278.0,16,13.0,0,1
70,59.0,38893.0,817.0,26407.0,1,,1,0
71,37.0,195475.0,359.0,47734.0,1,7.0,0,0
72,35.0,165251.0,747.0,33970.0,16,14.0,0,0
73,35.0,66508.0,654.0,36069.0,6,2.0,0,0
74,20.0,36551.0,553.0,6238.0,22,8.0,0,1
75,,177275.0,516.0,18410.0,29,1.0,1,1
76,29.0,38220.0,407.0,46506.0,12,13.0,1,0
77,65.0,137514.0,572.0,25662.0,14,11.0,0,1
78,36.0,173120.0,691.0,6917.0,16,10.0,0,0
79,50.0,170478.0,474.0,38434.0,19,1.0,0,1
80,49.0,103258.0,422.0,13649.0,29,13.0,1,0
81,40.0,152506.0,609.0,22397.0,23,10.0,0,1
82,65.0,99347.0,,23185.0,23,14.0,0,1
83,44.0,39092.0,513.0,26035.0,4,8.0,1,0
84,41.0,124791.0,706.0,22296.0,6,8.0,1,1
85,47.0,123048.0,547.0,26087.0,18,7.0,0,0
86,60.0,121675.0,726.0,36597.0,17,3.0,1,1
87,61.0,190305.0,521.0,24664.0,12,7.0,1,0
88,56.0,79872.0,430.0,37295.0,4,10.0,0,0
89,61.0,79450.0,411.0,22951.0,19,4.0,1,0
90,53.0,111230.0,371.0,6172.0,10,12.0,1,1
91,52.0,75886.0,717.0,20900.0,28,,1,1
92,37.0,109275.0,364.0,35940.0,16,6.0,1,0
93,34.0,45956.0,,,1,9.0,1,0
94,67.0,40769.0,560.0,49418.0,24,6.0,1,0
95,53.0,,587.0,38226.0,10,9.0,0,1
96,56.0,46858.0,798.0,15465.0,2,9.0,0,1
97,,195052.0,825.0,20197.0,29,7.0,0,1
98,29.0,93444.0,581.0,19913.0,16,11.0,1,1
99,67.0,164555.0,605.0,25264.0,27,11.0,0,1
100,29.0,108009.0,732.0,23865.0,4,2.0,0,0
101,,70995.0,619.0,27748.0,18,4.0,1,0
102,51.0,129151.0,613.0,10614.0,7,12.0,0,0
103,,74315.0,623.0,41960.0,9,3.0,1,1
104,61.0,168582.0,713.0,37064.0,8,14.0,1,1
105,27.0,133845.0,848.0,48615.0,9,12.0,1,0
106,45.0,46269.0,833.0,9396.0,2,7.0,0,1
107,21.0,190538.0,539.0,19871.0,3,5.0,1,1
108,33.0,80610.0,615.0,34879.0,15,8.0,1,0
109,31.0,163300.0,795.0,27981.0,10,9.0,0,1
110,18.0,166907.0,326.0,33571.0,13,14.0,1,1
111,59.0,158284.0,,26466.0,27,14.0,0,1
112,30.0,131863.0,655.0,43664.0,23,5.0,0,0
113,50.0,198933.0,804.0,18022.0,22,14.0,1,1
114,41.0,183399.0,505.0,22936.0,26,5.0,1,1
115,57.0,37061.0,829.0,22088.0,6,2.0,0,1
116,48.0,40748.0,601.0,22545.0,17,2.0,1,1
117,38.0,113822.0,763.0,38098.0,26,7.0,0,1
118,18.0,147215.0,538.0,26195.0,1,14.0,0,1
119,62.0,142032.0,442.0,15418.0,16,12.0,0,1
120,53.0,116607.0,774.0,36454.0,28,9.0,0,0
121,55.0,53255.0,569.0,35870.0,10,5.0,0,0
122,20.0,65090.0,718.0,26915.0,19,7.0,1,1
123,57.0,146689.0,641.0,44855.0,5,11.0,0,1
124,59.0,126229.0,800.0,23505.0,29,9.0,1,1
125,21.0,167073.0,469.0,8893.0,4,13.0,0,0
126,28.0,160168.0,566.0,33987.0,23,14.0,1,1
127,59.0,34890.0,,20756.0,5,7.0,0,0
128,51.0,39114.0,339.0,8597.0,9,11.0,0,1
129,39.0,151530.0,414.0,7428.0,18,3.0,0,1
130,35.0,35119.0,739.0,34263.0,3,14.0,1,0
131,67.0,164617.0,659.0,14788.0,2,3.0,1,0
132,48.0,172003.0,610.0,37060.0,15,4.0,1,0
133,36.0,64254.0,385.0,25594.0,22,,1,1
134,45.0,84603.0,802.0,32224.0,15,8.0,1,0
135,47.0,98784.0,450.0,31843.0,4,11.0,1,1
136,31.0,150365.0,358.0,21183.0,4,11.0,0,1
137,36.0,182440.0,624.0,38967.0,6,10.0,1,0
138,32.0,111139.0,594.0,49249.0,3,1.0,1,1
139,28.0,140217.0,372.0,8588.0,12,4.0,0,1
140,48.0,166742.0,362.0,30070.0,17,10.0,0,0
141,19.0,79151.0,541.0,48824.0,7,2.0,0,0
142,,59465.0,673.0,25053.0,25,5.0,0,0
143,,79583.0,789.0,27696.0,10,3.0,0,0
144,33.0,119306.0,802.0,13004.0,1,3.0,1,0
145,23.0,65223.0,,30234.0,25,10.0,1,0
146,65.0,110379.0,765.0,26887.0,25,11.0,0,1
147,37.0,144633.0,619.0,29109.0,7,6.0,1,0
148,34.0,71665.0,702.0,40314.0,19,11.0,1,0
149,28.0,52064.0,619.0,45483.0,9,8.0,1,0
150,,31305.0,629.0,47992.0,24,14.0,1,0
151,48.0,34843.0,491.0,19047.0,7,6.0,1,1
152,21.0,87842.0,495.0,18564.0,25,11.0,1,1
153,33.0,60430.0,311.0,23780.0,1,,1,1
154,34.0,191002.0,600.0,29909.0,2,6.0,1,0
155,65.0,45217.0,807.0,19727.0,23,3.0,0,1
156,38.0,143587.0,554.0,46784.0,11,4.0,1,1
